,subsr,asset_nm,ct_cl,genre_of_ct_cl,use_tms,SMRY,ACTR_DISP,disp_rtm,strt_dt,month,disp_rtm_s,asset_nm_new,date,day,hour,runningtime,weather,year
6276,60496000,연인 파트1 03회(23/08/11),TV드라마,기타,647,"오랑캐가 쳐들어왔다. 길채는 연준이 전쟁에 나가는 것을 막으려 하고, 장현은 피난을 가겠다고 선언한다.","남궁민,안은진,이학주,이다인,김윤우,박강섭,박정연,권소현,김서안,최영우",1:05,20230916194218,9,3900,연인파트1,2023-09-16,토,19,90분이하,비,
6277,65954000,하늘의 인연 102회(23/09/08),TV드라마,기타,1740,"도현은 정임에게 윤솔이 자신의 방에 들어왔냐고 추궁하다가 봉변을 당하고, 세나는 익명게시판 루머를 없애기 위해 고군분투한다. 한편 윤솔은 세나와 치환의 관계를 밝히기 위해 계략을 세우는데...","이훈,조은숙,심이영,김유석,고은미,정한용",0:29,20230909055213,9,1740,하늘의인연,2023-09-09,토,5,60분이하,맑음,
6278,60955000,하늘의 인연 102회(23/09/08),TV드라마,기타,1740,"도현은 정임에게 윤솔이 자신의 방에 들어왔냐고 추궁하다가 봉변을 당하고, 세나는 익명게시판 루머를 없애기 위해 고군분투한다. 한편 윤솔은 세나와 치환의 관계를 밝히기 위해 계략을 세우는데...","이훈,조은숙,심이영,김유석,고은미,정한용",0:29,20230908223803,9,1740,하늘의인연,2023-09-08,금,22,60분이하,맑음,
6279,65954000,하늘의 인연 102회(23/09/08),TV드라마,기타,1740,"도현은 정임에게 윤솔이 자신의 방에 들어왔냐고 추궁하다가 봉변을 당하고, 세나는 익명게시판 루머를 없애기 위해 고군분투한다. 한편 윤솔은 세나와 치환의 관계를 밝히기 위해 계략을 세우는데...","이훈,조은숙,심이영,김유석,고은미,정한용",0:29,20230912044947,9,1740,하늘의인연,2023-09-12,화,4,60분이하,흐림,
6280,64984000,일지매 06회,TV드라마,기타,1936,연이는 강사령에게 봉변을 당할 뻔하다가 자신을 구해준 희봉에게 고마움을 표시한다. 그리고는 겸이와는 어떤 사이인지 묻는데 희봉은 겸이와 자신은 서로 비밀없이 호형호제 하는 사이라고 말하고는 나루로 나오면 자신이 도와줄 것이라고 말한다.,"이준기,한효주,이영아,이문식",1:01,20230910200723,9,3660,일지매,2023-09-10,일,20,90분이하,흐림,
6281,64984000,일지매 06회,TV드라마,기타,3660,연이는 강사령에게 봉변을 당할 뻔하다가 자신을 구해준 희봉에게 고마움을 표시한다. 그리고는 겸이와는 어떤 사이인지 묻는데 희봉은 겸이와 자신은 서로 비밀없이 호형호제 하는 사이라고 말하고는 나루로 나오면 자신이 도와줄 것이라고 말한다.,"이준기,한효주,이영아,이문식",1:01,20230910170635,9,3660,일지매,2023-09-10,일,17,90분이하,흐림,
6282,64984000,일지매 06회,TV드라마,기타,3660,연이는 강사령에게 봉변을 당할 뻔하다가 자신을 구해준 희봉에게 고마움을 표시한다. 그리고는 겸이와는 어떤 사이인지 묻는데 희봉은 겸이와 자신은 서로 비밀없이 호형호제 하는 사이라고 말하고는 나루로 나오면 자신이 도와줄 것이라고 말한다.,"이준기,한효주,이영아,이문식",1:01,20230910204032,9,3660,일지매,2023-09-10,일,20,90분이하,흐림,
6283,64984000,일지매 19회,TV드라마,기타,3780,"숲에서 무릎을 꿇은 시후를 향해 사천은 칼을 높이 든다. 이때 일지매와 무이가 대치 중이라는 부하의 이야기에 사천은 눈이 번쩍 뜨인다. 한편, 용이는 심덕으로부터 공갈이 남겼다는 서찰을 건네받고는 이내 펼쳐보다가 깜짝 놀란다.","이준기,한효주,이영아,이문식",1:03,20230911184205,9,3780,일지매,2023-09-11,월,18,90분이하,흐림,
6284,66875000,금이야 옥이야 101회(23/08/18),TV드라마,기타,1210,"찬란은 잔디를 집으로 초대하고, 잔디는 놀이터에서 만난 여자로 인해 혼란스러워한다. 한편, 주혁과 예주는 가족들 몰래 부쩍 가까워지는데...","서준영,윤다영,김시후,강다현,김호영,최종환,송채환,이응경,김영호,최재원,이윤성,최필림,반민정,안용준,김동윤",0:28,20230913161449,9,1680,금이야옥이야,2023-09-13,수,16,60분이하,비,
6285,65954000,하늘의 인연 100회(23/09/06),TV드라마,기타,1680,"세나와 도현이 광고모델로 최종 선발되면서 회사 분위기가 술렁이기 시작하고, 데이빗과 윤솔은 복수를 위한 다음 프로젝트를 준비한다. 한편 화재 사건과 세나에 관한 루머는 점점 걷잡을 수 없이 퍼지기 시작하는데...","이훈,조은숙,심이영,김유석,고은미,정한용",0:28,20230909044716,9,1680,하늘의인연,2023-09-09,토,4,60분이하,맑음,
