,subsr,SMRY
52,62421000,"[503회, 504회 통합본] 1. 믿고 맡겼지만... 대리기사가 사고를 낸 황당한 이유 2. 사고 유발 후 사라진 오토바이... 과연 그 책임은?"
53,62421000,[DNA는 살인자를 알고 있다] 112에 걸려온 다급한 신고 전화! 상처가 무려 스무 곳에서 발견.. 분노에 의한 살인일 가능성이 높다! 사건 현장에 남겨진 유일한 단서 DNA! 국과수에서 걸려온 전화 한 통! DNA로 이름의 성씨를 확인할 수 있다?
54,65696000,"[때리긴 했어도 죽이진 않았어요 - 다섯 살 딸 실종 살인 사건] 2017년 12월 8일, 전주의 한 경찰서 지구대에 젊은 부부가 찾아와 실종 신고를 접수했다. 사라진 아이는 갑상샘 기능 저하증과 발달 장애를 앓고 있는 5살 고진희 양. 진희는 어디로 사라진 걸까?"
55,65443000,"47년 만의 탈출 : 검은 강을 건너라. 1997년 7월 27일, SBS 김천홍 기자를 태운 택시가 은밀하게 달리고 있다. 목적지는 중국의 장백. 공안의 삼엄한 감시를 피해 가며 비밀리에 도착한 곳은 작은 시골 마을, 허름한 집 앞. 조심스럽게 문을 열자 누군가 기다리고 있었는데..."
56,65443000,"47년 만의 탈출 : 검은 강을 건너라. 1997년 7월 27일, SBS 김천홍 기자를 태운 택시가 은밀하게 달리고 있다. 목적지는 중국의 장백. 공안의 삼엄한 감시를 피해 가며 비밀리에 도착한 곳은 작은 시골 마을, 허름한 집 앞. 조심스럽게 문을 열자 누군가 기다리고 있었는데..."
57,65443000,"47년 만의 탈출 : 검은 강을 건너라. 1997년 7월 27일, SBS 김천홍 기자를 태운 택시가 은밀하게 달리고 있다. 목적지는 중국의 장백. 공안의 삼엄한 감시를 피해 가며 비밀리에 도착한 곳은 작은 시골 마을, 허름한 집 앞. 조심스럽게 문을 열자 누군가 기다리고 있었는데..."
58,65443000,"47년 만의 탈출 : 검은 강을 건너라. 1997년 7월 27일, SBS 김천홍 기자를 태운 택시가 은밀하게 달리고 있다. 목적지는 중국의 장백. 공안의 삼엄한 감시를 피해 가며 비밀리에 도착한 곳은 작은 시골 마을, 허름한 집 앞. 조심스럽게 문을 열자 누군가 기다리고 있었는데..."
59,64495000,"아무도 모른다 - 물음표 가족의 마지막 외출. 2016년 9월 20일 대구. 한 낚시꾼이 낙동강변에 자리를 잡고 입질을 기다리던 중, 수면 위에 떠 있는 물체를 발견하게 된다. 그리고 불어오는 바람에 섞여 있는 역한 내음. 그동안 수상한 물체는 서서히 강가로 다가오는데..."
60,59900000,"[산자들의 정치공간, 조선왕릉 1 - 세조의 염원, 아버지의 능을 옮겨라] 세종의 효심과 세조의 염원에서 비롯된 영릉(세종 능)의 저주, 그로 인한 조선 왕실의 위기에 대해 알아본다."
61,65941000,"[한일부부, 우리는 쓰시마에 산다 4부] 3년 반 동안 한국에 가지 못했던 가족. 드디어 한국에 갈 기회가 생겨, 가족 모두는 들떠있다. 한국에 갔다 와서 맞이할 게스트 하우스 손님 준비도 미리 해 두는 부부. 한일 가족은, 한창 상기된 얼굴로 배를 타고 한국에 도착한다."
